name,address,lat,lon,type,program
Androscoggin Learning & Transition,"227 Poland Rd,Auburn,Maine 04210",44.0787351,-70.2463936,High School,
Arthur R. Gould Sch--LCYDC,"675 Westbrook Street,South Portland,Maine 04106",43.63985925,-70.30876899,High School,
Ashland District School,"PO Box 369,Ashland,Maine 04732",46.631522,-68.406372,High School,English Literature and Composition
Aucocisco School,"126 Spurwink Ave,Cape Elizabeth,Maine 04107",43.6185396,-70.246426,High School,
Bangor Christian Schools,"1476 Broadway,Bangor,Maine 04401",44.8451318,-68.8015526,High School,"Calculus AB,Computer Science A,English Language and Composition,Statistics"
Bangor High School,"885 Broadway,Bangor,Maine 04401",44.8311735,-68.78180593,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Chinese Language and Culture,Computer Science A,Computer Science AB,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Human Geography,Macroeconomics,Microeconomics,Music Theory,Physics C: Electricity and Magnetism,Physics C: Mechanics,Seminar,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Bath Regional Career and Technical Center,"826 Shipbuilder Drive,Bath,Maine 04530",43.9170012,-69.8369009,CTE,"Automotive Technology,Carpentry,Cosmetology,Criminal Justive,Culinary Art,Early Chilhood Education,Electricity,Pre Engineering,Graphic Design,Health Science Careers,Welding,Applied Academics"
Baxter Academy for Technology & Science,"185 Lancaster Street,Portland,Maine 04101",43.6604718,-70.2619527,Charter,
Becket Academy - Rumney,"23 State House Station,Augusta,Maine 04330",44.3169922,-69.7734278,High School,
Belfast Area High School,"25 Lions Way,Belfast,Maine 04915",44.4261486,-69.0067249,High School,"Biology,Calculus AB,English Language and Composition,English Literature and Composition,Environmental Science,French Language and Culture,Music Theory,Physics 1,Physics B,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Berwick Academy,"31 Academy Street,South Berwick,Maine 03908",43.2316983,-70.80590637,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Drawing,English Literature and Composition,French Language and Culture,Physics 1,Physics B,Psychology,Spanish Language and Culture,Statistics,United States History"
Biddeford High School,"20 Maplewood Ave,Biddeford,Maine 04005",43.4953414,-70.47213643,High School,"Art History,Biology,Biology,Calculus AB,Calculus AB,Calculus AB,Calculus BC,Chemistry,Computer Science A,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics C: Mechanics,Psychology,Psychology,Spanish Language and Culture,Spanish Language and Culture,Statistics,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,World History: Modern"
Biddeford Regional Center of Technology,"10 Maplewood Ave,Biddeford,Maine 04005",43.4961517,-70.4706373,CTE,"Athletic Training and Sports Medicine,Auto Body Technology,Business Education,Business Law - Legal Studies,Computer Technology,Electrical Technology,Emergency Medical Services,Engineering and Architectural Design,Health Assistant-CNA,Introduction to Business,Introduction to Education,Introduction to Medical Sciences,Manufacturing Technology,Medical Assisting,Plumbing and Heating,Residential Carpentry,Teaching and Early Education,Travel and Early Education,Travel Tourism and Hospitality,Welding and Metal Fabrication,Technical Reading and Writing,"
Blue Hill Harbor School,"PO Box 1629,Blue Hill,Maine 04614",44.414164,-68.58696,High School,
Bonny Eagle High School,"700 Saco Road,Standish,Maine 04084",43.6972618,-70.59889123,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Drawing,English Language and Composition,English Language and Composition,English Literature and Composition,Environmental Science,French Language and Culture,Human Geography,Music Theory,Physics C: Mechanics,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,World History: Modern"
Boothbay Region High School,"236 Townsend Avenue,Boothbay Harbor,Maine 04538",43.86439465,-69.62933879,High School,"Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science A,English Language and Composition,English Literature and Composition,Environmental Science,Physics 1,Psychology,Psychology,Statistics,Statistics,U.S. Government and Politics,United States History,United States History"
Brewer High School,"79 Parkway South,Brewer,Maine 04412",44.7818075,-68.7554664,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Calculus AB,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,Environmental Science,Environmental Science,European History,French Language and Culture,French Language and Culture,Macroeconomics,Macroeconomics,Macroeconomics,Macroeconomics,Microeconomics,Microeconomics,Music Theory,Physics 1,Physics C: Electricity and Magnetism,Physics C: Mechanics,Psychology,Psychology,Psychology,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,United States History,World History: Modern"
Bridgton Academy,"PO Box 292,North Bridgton,Maine 04057",44.0986812,-70.6986736,High School,
Brunswick High School,"71 Dragons Drive,Brunswick,Maine 04011",43.9166529,-69.9659438,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Latin,Music Theory,Seminar,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History"
Buckfield Jr-Sr High School,"160 Morrill Street,Buckfield,Maine 04220",44.2988279,-70.36139301,High School,"English Language and Composition,English Literature and Composition,U.S. Government and Politics,United States History"
Bucksport High School,"102 Broadway,Bucksport,Maine 04416",44.57680105,-68.7814703,High School,"Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,English Language and Composition,English Literature and Composition,Precalculus,Spanish Language and Culture,Statistics,United States History"
Calais Middle/High School,"34 Blue Devil Hill Suite 2,Calais,Maine 04619",45.1889661,-67.2780626,High School,"Calculus AB,English Language and Composition,English Literature and Composition"
Camden Hills Regional H S,"25 Keelson Drive,Rockport,Maine 04856",44.1886767,-69.1005573,High School,"Biology,Biology,Calculus AB,Calculus BC,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,Environmental Science,European History,European History,French Language and Culture,Human Geography,Human Geography,Latin,Macroeconomics,Physics C: Mechanics,Precalculus,Psychology,Research,Seminar,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Cape Elizabeth High School,"345 Ocean House Road,Cape Elizabeth,Maine 04107",43.5911009,-70.22950665,High School,"Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,French Language and Culture,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics 2,Physics B,Physics C: Mechanics,Precalculus,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History"
Capital Area Technical Center,"40 Pierce Drive Suite # 1,Augusta,Maine 04330",44.3169922,-69.7734278,CTE,"Automotive Collision,Automotive Technology,Building Construction,Business Academy,Computer Technology,Culinary Arts,Early Childhood Education,Electrical technology,Emergency Medical Technician,Firefighting,Graphic Design and Printing,Health Careers Academy,Law Enforcement Academy,Machine Tool with Welding,Plumbing and Heating"
Caribou High School,"308 Sweden St,Caribou,Maine 04736",46.86269385,-68.03264441,High School,"Calculus AB,Calculus AB,Calculus BC,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,French Language and Culture,Physics C: Mechanics,Psychology,Statistics,United States History"
Caribou Technology Center,"308 Sweden Street Suite 1,Caribou,Maine 04736",46.8606301,-68.0116807,CTE,"Agriculture,Automotive Technology,Auto Body,Criminal Justice,Commercial Drivers License,Culinary Arts,EMT,Exploratory,Food Services,Health and Medical Sciences,JMG,Large Equipment,Residential Construction,Welding"
Carleton Project - Houlton,"PO Box 562,Houlton,Maine 04730",46.1251286,-67.8407944,High School,
Carrabassett Valley Academy,"3197 Carrabassett Dr,Carrabassett Valley,Maine 04947",45.0760115,-70.31513974,High School,
Carrabec High School,"PO Box 220,North Anson,Maine 04958",44.8550588,-69.8997806,High School,"Biology,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Chemistry,Computer Science A,English Language and Composition,English Literature and Composition,Environmental Science,European History,Human Geography,Microeconomics,Psychology,Statistics,Statistics,U.S. Government and Politics,United States History"
Casco Bay High School,"196 Allen Avenue,Portland,Maine 04103",43.6973836,-70.294353,High School,"Calculus AB,English Literature and Composition,Environmental Science,United States History"
Central Aroostook Jr-Sr H S,"PO Box 310,Mars Hill,Maine 04758",46.5158751,-67.8664135,High School,"Biology,Statistics,United States History"
Central High School,"PO Box 370,Corinth,Maine 04427",44.9837427,-69.0126807,High School,"Art History,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,French Language and Culture,Macroeconomics,Physics 1,Psychology,Statistics,Statistics,United States History,United States History,United States History,United States History,World History: Modern"
Central Maine Learning Center,"744 Oakland Rd,Belgrade,Maine 04917",44.505477,-69.7938701,High School,
Cheverus High School,"267 Ocean Avenue,Portland,Maine 04103",43.67923535,-70.27776764,High School,"Art History,Biology,Calculus AB,Calculus BC,Chemistry,Comparative Government and Politics,Comparative Government and Politics,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Latin,Latin Literature,Macroeconomics,Macroeconomics,Microeconomics,Music Theory,Music Theory,Physics 1,Psychology,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History,World History: Modern"
