name,address,lat,lon,type,"Programs,Majors,AP Classes"
Androscoggin Learning & Transition,"227 Poland Rd, Auburn, Maine 04210",44.0787351,-70.2463936,High School,
Arthur R. Gould Sch--LCYDC,"675 Westbrook Street, South Portland, Maine 04106",43.63985925,-70.30876899,High School,
Ashland District School,"PO Box 369, Ashland, Maine 04732",46.631522,-68.406372,High School,
Aucocisco School,"126 Spurwink Ave, Cape Elizabeth, Maine 04107",43.6185396,-70.246426,High School,
Bangor Christian Schools,"1476 Broadway, Bangor, Maine 04401",44.8451318,-68.8015526,High School,
Bangor High School,"885 Broadway, Bangor, Maine 04401",44.8311735,-68.78180593,High School,
Bath Regional Career and Technical Center,"826 Shipbuilder Drive, Bath, Maine 04530",43.9170012,-69.8369009,CTE,
Baxter Academy for Technology & Science,"185 Lancaster Street, Portland, Maine 04101",43.6604718,-70.2619527,Charter,
Becket Academy - Rumney,"23 State House Station, Augusta, Maine 04330",44.3169922,-69.7734278,High School,
Belfast Area High School,"25 Lions Way, Belfast, Maine 04915",44.4261486,-69.0067249,High School,
Berwick Academy,"31 Academy Street, South Berwick, Maine 03908",43.2316983,-70.80590637,High School,
Biddeford High School,"20 Maplewood Ave, Biddeford, Maine 04005",43.4953414,-70.47213643,High School,
Biddeford Regional Center of Technology,"10 Maplewood Ave, Biddeford, Maine 04005",43.4961517,-70.4706373,CTE,
Blue Hill Harbor School,"PO Box 1629, Blue Hill, Maine 04614",44.414164,-68.58696,High School,
Bonny Eagle High School,"700 Saco Road, Standish, Maine 04084",43.6972618,-70.59889123,High School,
Boothbay Region High School,"236 Townsend Avenue, Boothbay Harbor, Maine 04538",43.86439465,-69.62933879,High School,
Brewer High School,"79 Parkway South, Brewer, Maine 04412",44.7818075,-68.7554664,High School,
Bridgton Academy,"PO Box 292, North Bridgton, Maine 04057",44.0986812,-70.6986736,High School,
Brunswick High School,"71 Dragons Drive, Brunswick, Maine 04011",43.9166529,-69.9659438,High School,
Buckfield Jr-Sr High School,"160 Morrill Street, Buckfield, Maine 04220",44.2988279,-70.36139301,High School,
Bucksport High School,"102 Broadway, Bucksport, Maine 04416",44.57680105,-68.7814703,High School,
Calais Middle/High School,"34 Blue Devil Hill Suite 2, Calais, Maine 04619",45.1889661,-67.2780626,High School,
Camden Hills Regional H S,"25 Keelson Drive, Rockport, Maine 04856",44.1886767,-69.1005573,High School,
Cape Elizabeth High School,"345 Ocean House Road, Cape Elizabeth, Maine 04107",43.5911009,-70.22950665,High School,
Capital Area Technical Center,"40 Pierce Drive Suite # 1, Augusta, Maine 04330",44.3169922,-69.7734278,CTE,
Caribou High School,"308 Sweden St, Caribou, Maine 04736",46.86269385,-68.03264441,High School,
Caribou Technology Center,"308 Sweden Street Suite 1, Caribou, Maine 04736",46.8606301,-68.0116807,CTE,
Carleton Project - Houlton,"PO Box 562, Houlton, Maine 04730",46.1251286,-67.8407944,High School,
Carrabassett Valley Academy,"3197 Carrabassett Dr, Carrabassett Valley, Maine 04947",45.0760115,-70.31513974,High School,
Carrabec High School,"PO Box 220, North Anson, Maine 04958",44.8550588,-69.8997806,High School,
Casco Bay High School,"196 Allen Avenue, Portland, Maine 04103",43.6973836,-70.294353,High School,
Central Aroostook Jr-Sr H S,"PO Box 310, Mars Hill, Maine 04758",46.5158751,-67.8664135,High School,
Central High School,"PO Box 370, Corinth, Maine 04427",44.9837427,-69.0126807,High School,
Central Maine Learning Center,"744 Oakland Rd, Belgrade, Maine 04917",44.505477,-69.7938701,High School,
Cheverus High School,"267 Ocean Avenue, Portland, Maine 04103",43.67923535,-70.27776764,High School,
Coastal Washington County Institute of Technology,"1 Bulldog Lane, Machias, Maine 04654",44.7138419,-67.4691134,CTE,
Cony,"60 Pierce Drive, Augusta, Maine 04330",44.31491385,-69.74865177,High School,
Deer Isle-Stonington High Sch,"251 North Deer Isle Road, Deer Isle, Maine 04627",44.24215255,-68.68022387,High School,
Deering High School,"370 Stevens Avenue, Portland, Maine 04103",43.671705,-70.2965495,High School,
Dexter Regional High School,"12 Abbott Hill Rd, Dexter, Maine 04930",45.02595685,-69.29688952,High School,
Dirigo High School,"145 Weld Street, Dixfield, Maine 04224",44.5405703,-70.45174015,High School,
East Grand School,"31 Houlton Road, Danforth, Maine 04424",45.6611925,-67.8628744,High School,
Easton Junior-Senior High Sch,"173 Center Road, Easton, Maine 04740",46.6420341,-67.9036944,High School,
Ecology Learning Ctr,"230 Main Street, Unity, Maine 04988",44.6145714,-69.3313571,Charter,
Edward Little High School,"77 Harris Street, Auburn, Maine 04210",44.0945978,-70.234997,High School,
Ellsworth High School,"24 Lejok Street, Ellsworth, Maine 04605",44.55603755,-68.42801091,High School,
Erskine Academy,"309 Windsor Road, South China, Maine 04358",44.3735853,-69.57651772,High School,
Falmouth High School,"74 Woodville Road, Falmouth, Maine 04105",43.74047995,-70.27250912,High School,
Forest Hills Consolidated School,"606 Main Street, Jackman, Maine 04945",45.580976,-70.1715242,High School,
Fort Fairfield Middle/High School,"28 High School Drive Suite A, Fort Fairfield, Maine 04742",46.7698261,-67.8345688,High School,
Fort Kent Community High School,"84 Pleasant Street, Fort Kent, Maine 04743",47.2495824,-68.5858772,High School,
Foster Technology Center,"129 Seamon Rd, Farmington, Maine 04938",44.6383957,-70.1318188,CTE,
Foxcroft Academy,"975 West Main Street, Dover-Foxcroft, Maine 04426",45.18555815,-69.2479385,High School,
Freeport High School,"30 Holbrook Street, Freeport, Maine 04032",43.8577207,-70.10990587,High School,
Fryeburg Academy,"745 Main Street, Fryeburg, Maine 04037",44.0199249,-70.9762606,High School,
Gardiner Area High School,"40 West Hill Road, Gardiner, Maine 04345",44.2275807,-69.78796929,High School,
George Stevens Academy,"23 Union Street, Blue Hill, Maine 04614",44.413191,-68.5898544,High School,
Glenn Stratton Learning Center,"PO Box 159, Hinckley, Maine 04944",44.6856193,-69.6325485,High School,
Glickman Academy,"587 Ocean Avenue, Portland, Maine 04103",43.6866688,-70.2672354,High School,
Glickman Lauder Ctr of Excellence in Autism & DD,"37 Andover Road, Portland, Maine 04102",43.65263462,-70.33995681,High School,
Gorham High School,"41 Morrill Avenue, Gorham, Maine 04038",43.67488625,-70.44553564,High School,
Gould Academy,"PO Box 860, Bethel, Maine 04217",44.4057643,-70.7900436,High School,
Gr Portland Christian School,"1338 Broadway, South Portland, Maine 04106",43.62886815,-70.28830433,High School,
Graham Lake School,"16 KIDSPEACE WAY ROUTE 180, Ellsworth, Maine 04605",44.5414036,-68.4243047,High School,
Gray-New Gloucester High School,"10 Libby Hill Road, Gray, Maine 04039",43.9033057,-70.34964349,High School,
Greater Houlton Christian Academy,"27 School Street, Houlton, Maine 04730",46.123484,-67.83862603,High School,
Greely High School,"303 Main Street, Cumberland, Maine 04021",43.79833705,-70.25427858,High School,
Greenville Consolidated School,"PO Box 100, Greenville, Maine 04441",45.4594907,-69.5906101,High School,
Hall-Dale Middle and High School,"97 Maple ST, Farmingdale, Maine 04344",44.2674637,-69.7996304,High School,
Hampden Academy,"89 Western Avenue, Hampden, Maine 04444",44.74215285,-68.84427699,High School,
Hancock County Technical Center,"112 Boggy Brook Road, Ellsworth, Maine 04605",44.57535605,-68.4583658,CTE,
Hebron Academy,"PO Box 309, Hebron, Maine 04238",44.1971013,-70.4062034,High School,
Hermon High School,"2415 Route 2, Hermon, Maine 04401",44.809796,-68.89908488,High School,
Hillcrest - Highpoint,"111 Sewell St, Augusta, Maine 04330",44.3169922,-69.7734278,High School,
Hodgdon Middle/High School,"175 Hodgdon Mills Road, Hodgdon, Maine 04730",46.0547181,-67.8647259,High School,
Houlton High School,"7 Bird Street, Houlton, Maine 04730",46.1286626,-67.8271243,High School,
Hurricane Island Center for Science and Leadership School,"PO Box 1280, Rockland, Maine 04841",44.104831,-69.1092025,High School,
Hyde School,"616 High Street, Bath, Maine 04530",43.906907,-69.8205473,High School,
Ironwood School,"67 Captain Cushman Road, Morrill, Maine 04952",44.4623042,-69.2076898,High School,
Islesboro Central School,"PO Box 118, Islesboro, Maine 04848",44.3084113,-68.9033651,High School,
John Bapst Memorial High School,"100 Broadway, Bangor, Maine 04401",44.8052889,-68.76860267,High School,
Jonesport-Beals High School,"180 Snare Creek Lane, Jonesport, Maine 04649",44.55763465,-67.6136567,High School,
Katahdin Middle/High School,"800 Station Road, Stacyville, Maine 04777",45.886888,-68.421051,High School,
Kennebunk High School,"89 Fletcher Street, Kennebunk, Maine 04043",43.39651315,-70.54893823,High School,
Kents Hill School,"PO Box 257, Kents Hill, Maine 04349",44.4050671,-70.0008869,High School,
KidsPeace-Millinocket,"16 KIDSPEACE WAY ROUTE 180, Millinocket, Maine 04462",45.657728,-68.709869,High School,
KidsPeace-Old Town,"16 KIDSPEACE WAY ROUTE 180, Old Town, Maine 04468",44.9354209,-68.6464233,High School,
Kieve-Wavus Education Inc (NTLP),"PO Box 169, Nobleboro, Maine 04555",44.0796489,-69.4850046,High School,
Kittery Academy,"518 US Route 1, Suite 6, Kittery, Maine 03904",43.088448,-70.736847,High School,
Lake Region High School,"1877 Roosevelt Trail, Naples, Maine 04055",43.99791085,-70.65702135,High School,
Lake Region Vocational Center,"1879 Roosevelt Trail, Naples, Maine 04055",43.9980553,-70.6576362,CTE,
Lawrence High School,"9 School Street, Fairfield, Maine 04937",44.59068713,-69.60443766,High School,
Leavitt Area High School,"21 Matthews Way, Turner, Maine 04282",44.26627695,-70.22622446,High School,
Lee Academy,"4 Winn Road, Lee, Maine 04455",45.3602326,-68.2864898,High School,
Lewiston High School,"156 East Avenue, Lewiston, Maine 04240",44.0931592,-70.20180955,High School,
